sentence,label
"There She Is, Miss America In 1968, feminists gathered in Atlantic City to protest the Miss America pageant, calling it racist and sexist. Is this beauty contest bad for women? Miss America gives honors and education scholarships. And since scholarships would give women a chance to study, Miss America is good for women.",0
"There She Is, Miss America In 1968, feminists gathered in Atlantic City to protest the Miss America pageant, calling it racist and sexist. Is this beauty contest bad for women? Miss America gives honors and education scholarships. And since scholarships would take women from the home, Miss America is good for women.",1
"Can Young Students Learn From Online Classes? Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group? I found online courses to not be well designed, flexible, or conducive to discussion. And since professors are flexible and indoctrinate students to the power of choice, Online classes are not the best way to teach.",0
"Can Young Students Learn From Online Classes? Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group? I found online courses to not be well designed, flexible, or conducive to discussion. And since professors are even more inflexible and indoctrinate students to their personal beliefs, Online classes are not the best way to teach.",1
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Interns are replacing employees. And since that helps the company's bottom line, Unpaid internship exploit college students.",0
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Interns are replacing employees. And since that harms the company's bottom line, Unpaid internship exploit college students.",1
"Should Home-Schoolers Play for High School Teams? Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right? If home schooled children get to pick a high school sports team high school kids will want to be able to play for other schools. And since picking teams is not the way the system works, Home-schoolers should not play for high school teams.",0
"Should Home-Schoolers Play for High School Teams? Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right? If home schooled children get to pick a high school sports team high school kids will want to be able to play for other schools. And since picking teams encourages competitiveness, Home-schoolers should not play for high school teams.",1
"What Makes 'Natural' Natural? Should the F.D.A. restrict use of the word ""natural"" on food labels? Labeling a product with ""natural"" is an attempt to portray the food as ""healthy"", but is often not the case. And since most people don't understand that natural does not mean healthy, Restrict use of the word ""natural"" on food labels.",0
"What Makes 'Natural' Natural? Should the F.D.A. restrict use of the word ""natural"" on food labels? Labeling a product with ""natural"" is an attempt to portray the food as ""healthy"", but is often not the case. And since most people understand that natural does not mean healthy, Restrict use of the word ""natural"" on food labels.",1
"Are New York's Bike Lanes Working? Mayor Koch's bicycle network died quickly. Mayor Bloomberg's is remaking the streets of the city. What is the verdict so far? The parking problems caused by the bike lanes are ruining attractions. And since fewer tourists at attractions is not best for New Yorkers, New York's bike lanes are not working.",0
